"value","count","cumsum","pct"
"hear",27095,12957342,27.65
"yeah",27014,12984356,27.71
"forward",26958,13011314,27.77
"months",26906,13038220,27.82
"mean",26815,13065035,27.88
"country",26698,13091733,27.94
"cool",26694,13118427,27.99
"saturday",26556,13144983,28.05
"asked",26532,13171515,28.11
"remember",26491,13198006,28.16
"students",26481,13224487,28.22
"using",26298,13250785,28.28
"favorite",26297,13277082,28.33
"taking",26285,13303367,28.39
"blog",26245,13329612,28.45
"playing",26192,13355804,28.5
"local",26114,13381918,28.56
"government",26093,13408011,28.61
"wish",25961,13433972,28.67
"guy",25917,13459889,28.72
"summer",25892,13485781,28.78
"beautiful",25840,13511621,28.83
"plan",25754,13537375,28.89
"area",25696,13563071,28.94
"late",25652,13588723,29
"weeks",25571,13614294,29.05
"fact",25568,13639862,29.11
"comes",25530,13665392,29.16
"number",25519,13690911,29.22
"following",25471,13716382,29.27
"lost",25412,13741794,29.33
"stay",25382,13767176,29.38
"mother",25373,13792549,29.43
"monday",25336,13817885,29.49
"movie",25213,13843098,29.54
"sunday",25165,13868263,29.6
"national",25161,13893424,29.65
"finally",25106,13918530,29.7
"health",25037,13943567,29.76
"become",24932,13968499,29.81
"pay",24900,13993399,29.86
"pm",24752,14018151,29.91
"according",24714,14042865,29.97
"men",24433,14067298,30.02
"power",24292,14091590,30.07
"looks",24290,14115880,30.12
"community",24265,14140145,30.18
"gonna",24168,14164313,30.23
"red",24137,14188450,30.28
"needs",24028,14212478,30.33
"bring",24021,14236499,30.38
"hate",23913,14260412,30.43
"baby",23629,14284041,30.48
"street",23616,14307657,30.53
"hand",23568,14331225,30.58
"move",23538,14354763,30.63
"word",23513,14378276,30.68
"couple",23494,14401770,30.73
"close",23490,14425260,30.78
"park",23478,14448738,30.83
"court",23372,14472110,30.88
"phone",23360,14495470,30.93
"john",23358,14518828,30.98
"thinking",23246,14542074,31.03
"excited",23185,14565259,31.08
"add",23168,14588427,31.13
"cut",23137,14611564,31.18
"birthday",23090,14634654,31.23
"special",23074,14657728,31.28
"mom",22977,14680705,31.33
"based",22944,14703649,31.38
"instead",22909,14726558,31.43
"ask",22898,14749456,31.48
"saying",22859,14772315,31.52
"leave",22751,14795066,31.57
"list",22740,14817806,31.62
"service",22729,14840535,31.67
"important",22693,14863228,31.72
"series",22674,14885902,31.77
"program",22637,14908539,31.82
"road",22560,14931099,31.86
"stuff",22368,14953467,31.91
"words",22333,14975800,31.96
"means",22265,14998065,32.01
"former",22258,15020323,32.05
"running",22201,15042524,32.1
"song",22155,15064679,32.15
"share",22151,15086830,32.2
"hot",22094,15108924,32.24
"college",22043,15130967,32.29
"outside",22014,15152981,32.34
"buy",22001,15174982,32.38
"april",21888,15196870,32.43
"meet",21880,15218750,32.48
"seems",21877,15240627,32.52
"heard",21826,15262453,32.57
"board",21815,15284268,32.62
"woman",21709,15305977,32.66
"project",21697,15327674,32.71
"quite",21655,15349329,32.76
"problem",21629,15370958,32.8
"event",21603,15392561,32.85
"talking",21540,15414101,32.89
"light",21443,15435544,32.94
"reading",21415,15456959,32.99
"books",21370,15478329,33.03
"university",21328,15499657,33.08
"experience",21295,15520952,33.12
"deal",21270,15542222,33.17
"film",21262,15563484,33.21
"york",21245,15584729,33.26
"enjoy",21176,15605905,33.3
"writing",21151,15627056,33.35
"hour",21143,15648199,33.39
"turn",21115,15669314,33.44
"ok",21077,15690391,33.48
"future",21068,15711459,33.53
"tweet",21067,15732526,33.57
"system",21049,15753575,33.62
"social",21009,15774584,33.66
"wrong",20978,15795562,33.71
"thursday",20964,15816526,33.75
"obama",20953,15837479,33.8
"information",20942,15858421,33.84
"knew",20811,15879232,33.89
"tuesday",20797,15900029,33.93
"gets",20783,15920812,33.98
"question",20738,15941550,34.02
"video",20636,15962186,34.06
"history",20625,15982811,34.11
"child",20572,16003383,34.15
"art",20411,16023794,34.19
"order",20364,16044158,34.24
"perfect",20360,16064518,34.28
"easy",20354,16084872,34.33
"feeling",20328,16105200,34.37
"reason",20324,16125524,34.41
"sorry",20320,16145844,34.46
"short",20246,16166090,34.5
"beer",20165,16186255,34.54
"sleep",20132,16206387,34.58
"body",20100,16226487,34.63
"members",20028,16246515,34.67
"goes",19955,16266470,34.71
"market",19947,16286417,34.76
"haven",19860,16306277,34.8
"given",19708,16325985,34.84
"rest",19707,16345692,34.88
"moment",19683,16365375,34.92
"green",19608,16384983,34.97
"meeting",19593,16404576,35.01
"bill",19580,16424156,35.05
"gave",19492,16443648,35.09
"san",19451,16463099,35.13
"south",19439,16482538,35.17
"living",19412,16501950,35.22
"guess",19374,16521324,35.26
"large",19264,16540588,35.3
"chance",19256,16559844,35.34
"media",19250,16579094,35.38
"points",19244,16598338,35.42
"town",19231,16617569,35.46
"matter",19206,16636775,35.5
"needed",19169,16655944,35.54
"especially",19089,16675033,35.58
"fall",19074,16694107,35.63
"sweet",19072,16713179,35.67
"building",18983,16732162,35.71
"parents",18980,16751142,35.75
"eat",18949,16770091,35.79
"mr",18885,16788976,35.83
"coach",18836,16807812,35.87
"played",18778,16826590,35.91
"felt",18729,16845319,35.95
"final",18697,16864016,35.99
"wednesday",18492,16882508,36.03
"district",18478,16900986,36.07
"single",18430,16919416,36.11
"decided",18407,16937823,36.15
"fans",18364,16956187,36.18
"pick",18334,16974521,36.22
"cause",18291,16992812,36.26
"tv",18228,17011040,36.3
"store",18181,17029221,36.34
"known",18145,17047366,36.38
"starting",18144,17065510,36.42
"taken",18138,17083648,36.46
"wants",18137,17101785,36.5
"spring",18088,17119873,36.53
"son",18084,17137957,36.57
"north",18035,17155992,36.61
"walk",18035,17174027,36.65
"march",18031,17192058,36.69
"states",17974,17210032,36.73
"near",17966,17227998,36.76
"lead",17950,17245948,36.8
"officials",17947,17263895,36.84
"welcome",17939,17281834,36.88
"glad",17905,17299739,36.92
"break",17793,17317532,36.96
"department",17787,17335319,36.99
"available",17708,17353027,37.03
"self",17694,17370721,37.07
"learn",17691,17388412,37.11
"director",17602,17406014,37.14
"tax",17567,17423581,37.18
"shot",17565,17441146,37.22
"write",17558,17458704,37.26
"visit",17462,17476166,37.29
"boy",17403,17493569,37.33
"rock",17397,17510966,37.37
"report",17393,17528359,37.41
"federal",17385,17545744,37.44
"online",17385,17563129,37.48
"west",17378,17580507,37.52
"players",17328,17597835,37.55
"crazy",17327,17615162,37.59
"gone",17327,17632489,37.63
"added",17298,17649787,37.66
"possible",17266,17667053,37.7
"dinner",17201,17684254,37.74
"drive",17169,17701423,37.78
"field",17099,17718522,37.81
"tried",17075,17735597,37.85
"happen",17068,17752665,37.88
"bed",17059,17769724,37.92
"card",17049,17786773,37.96
"www",17023,17803796,37.99
"understand",17002,17820798,38.03
"hair",16937,17837735,38.07
"inside",16912,17854647,38.1
"record",16900,17871547,38.14
"works",16818,17888365,38.17
"facebook",16808,17905173,38.21
"paper",16762,17921935,38.25
"lives",16756,17938691,38.28
"site",16706,17955397,38.32
"level",16662,17972059,38.35
"sense",16633,17988692,38.39
"process",16621,18005313,38.42
"major",16612,18021925,38.46
"turned",16566,18038491,38.49
"ohio",16540,18055031,38.53
"round",16536,18071567,38.56
"super",16524,18088091,38.6
"eyes",16499,18104590,38.64
"seeing",16498,18121088,38.67
"loved",16481,18137569,38.71
"space",16481,18154050,38.74
"america",16443,18170493,38.78
"general",16416,18186909,38.81
"wife",16379,18203288,38.85
"issue",16371,18219659,38.88
"wow",16361,18236020,38.92
"strong",16265,18252285,38.95
"father",16258,18268543,38.99
"air",16238,18284781,39.02
"low",16209,18300990,39.05
"yesterday",16204,18317194,39.09
"sounds",16195,18333389,39.12
"spent",16192,18349581,39.16
"interesting",16187,18365768,39.19
