"","value","count","cumsum","pct"
"200","enough",18806,21898113,66.59
"201","different",18766,21916879,66.64
"202","three",18564,21935443,66.7
"203","help",18547,21953990,66.76
"204","school",18248,21972238,66.81
"205","once",18191,21990429,66.87
"206","actually",18128,22008557,66.92
"207","myself",18044,22026601,66.98
"208","keep",17911,22044512,67.03
"209","came",17598,22062110,67.09
"210","doing",17463,22079573,67.14
"211","between",17104,22096677,67.19
"212","times",16861,22113538,67.24
"213","getting",16798,22130336,67.29
"214","done",16796,22147132,67.35
"215","show",16755,22163887,67.4
"216","left",16722,22180609,67.45
"217","set",16670,22197279,67.5
"218","yet",16481,22213760,67.55
"219","point",16250,22230010,67.6
"220","course",16233,22246243,67.65
"221","making",16033,22262276,67.7
"222","together",16031,22278307,67.74
"223","must",16020,22294327,67.79
"224","pretty",15989,22310316,67.84
"225","took",15729,22326045,67.89
"226","tell",15418,22341463,67.94
"227","looking",15398,22356861,67.98
"228","however",15358,22372219,68.03
"229","hope",15314,22387533,68.08
"230","start",15214,22402747,68.12
"231","everything",15189,22417936,68.17
"232","someone",15169,22433105,68.21
"233","anything",15150,22448255,68.26
"234","try",15136,22463391,68.31
"235","hard",15041,22478432,68.35
"236","fun",15009,22493441,68.4
"237","small",14772,22508213,68.44
"238","high",14755,22522968,68.49
"239","fact",14686,22537654,68.53
"240","able",14662,22552316,68.58
"241","everyone",14580,22566896,68.62
"242","quite",14558,22581454,68.67
"243","top",14524,22595978,68.71
"244","during",14484,22610462,68.75
"245","far",14483,22624945,68.8
"246","told",14366,22639311,68.84
"247","white",14326,22653637,68.89
"248","room",14309,22667946,68.93
"249","nothing",14156,22682102,68.97
"250","real",14098,22696200,69.01
"251","person",14067,22710267,69.06
"252","maybe",14065,22724332,69.1
"253","food",13980,22738312,69.14
"254","water",13902,22752214,69.19
"255","head",13852,22766066,69.23
"256","least",13759,22779825,69.27
"257","free",13731,22793556,69.31
"258","already",13674,22807230,69.35
"259","kind",13641,22820871,69.39
"260","full",13542,22834413,69.43
"261","mind",13487,22847900,69.48
"262","happy",13479,22861379,69.52
"263","side",13372,22874751,69.56
"264","trying",13247,22887998,69.6
"265","whole",13197,22901195,69.64
"266","believe",13194,22914389,69.68
"267","under",13115,22927504,69.72
"268","name",13030,22940534,69.76
"269","often",13022,22953556,69.8
"270","live",13002,22966558,69.84
"271","writing",12786,22979344,69.88
"272","bad",12737,22992081,69.91
"273","past",12726,23004807,69.95
"274","working",12702,23017509,69.99
"275","friend",12695,23030204,70.03
"276","along",12634,23042838,70.07
"277","probably",12600,23055438,70.11
"278","add",12585,23068023,70.15
"279","later",12571,23080594,70.18
"280","heart",12497,23093091,70.22
"281","hand",12378,23105469,70.26
"282","second",12365,23117834,70.3
"283","ago",12359,23130193,70.33
"284","remember",12346,23142539,70.37
"285","idea",12308,23154847,70.41
"286","almost",12292,23167139,70.45
