"value","count","cumsum","pct"
"don know talking",88,36924,6.71
"don want hear",87,37011,6.72
"good morning love",87,37098,6.74
"looks like fun",87,37185,6.75
"looks like just",87,37272,6.77
"really don care",87,37359,6.78
"don know like",86,37445,6.8
"make sure stop",86,37531,6.82
"makes feel good",86,37617,6.83
"mi run time",86,37703,6.85
"new favorite song",86,37789,6.86
"don know people",85,37874,6.88
"just got real",85,37959,6.89
"law tip day",85,38044,6.91
"like good idea",85,38129,6.92
"looking forward connecting",85,38214,6.94
"morning happy friday",85,38299,6.95
"thanks really appreciate",85,38384,6.97
"www com check",85,38469,6.99
"add boston add",84,38553,7
"boston add boston",84,38637,7.02
"going great day",84,38721,7.03
"goodnight sweet dreams",84,38805,7.05
"texas family law",84,38889,7.06
"thanks follow happy",84,38973,7.08
"thanks following looking",84,39057,7.09
"things get better",84,39141,7.11
"certified wet contest",83,39224,7.12
"club drama want",83,39307,7.14
"contest friday club",83,39390,7.15
"drama want get",83,39473,7.17
"friday club drama",83,39556,7.18
"silk tie likes",83,39639,7.2
"sing happy birthday",83,39722,7.21
"sounds like need",83,39805,7.23
"wet contest friday",83,39888,7.24
"best day life",82,39970,7.26
"cross auto update",82,40052,7.27
"happy labor day",82,40134,7.29
"really don like",82,40216,7.3
"really wanna go",82,40298,7.32
"thanks happy friday",82,40380,7.33
"don know know",81,40461,7.35
"happy birthday beautiful",81,40542,7.36
"happy birthday great",81,40623,7.38
"looking forward learning",81,40704,7.39
"mi run pace",81,40785,7.41
"happy veterans day",80,40865,7.42
"looks like gonna",80,40945,7.44
"best way get",79,41024,7.45
"don know get",79,41103,7.46
"having great weekend",79,41182,7.48
"like years ago",79,41261,7.49
"thanks came last",79,41340,7.51
"thanks follow let",79,41419,7.52
"www com www",79,41498,7.54
"follow biggest fan",78,41576,7.55
"good luck hope",78,41654,7.56
"great way end",78,41732,7.58
"los angeles ca",78,41810,7.59
"people just don",78,41888,7.61
"don just love",77,41965,7.62
"thanks follow check",77,42042,7.63
"green bay packers",76,42118,7.65
"haters gonna hate",76,42194,7.66
"looks like good",76,42270,7.68
"morning hope great",76,42346,7.69
"peanut butter jelly",76,42422,7.7
"send direct message",76,42498,7.72
"www com get",76,42574,7.73
"www party com",76,42650,7.74
"coming last night",75,42725,7.76
"don know doing",75,42800,7.77
"don think anyone",75,42875,7.79
"feel like getting",75,42950,7.8
"just saw commercial",75,43025,7.81
"like facebook page",75,43100,7.83
"tonight looking forward",75,43175,7.84
"comic strip live",74,43249,7.85
"going bed early",74,43323,7.87
"like last year",74,43397,7.88
"thanks glad liked",74,43471,7.89
"thanks hard work",74,43545,7.91
"available customer area",73,43618,7.92
"don forget get",73,43691,7.93
"don want talk",73,43764,7.95
"get day started",73,43837,7.96
"new year resolutions",73,43910,7.97
"new years resolution",73,43983,7.99
"baby light world",72,44055,8
"check facebook page",72,44127,8.01
"did good job",72,44199,8.03
"get get get",72,44271,8.04
"happy pi day",72,44343,8.05
"happy st patty",72,44415,8.07
"hate people say",72,44487,8.08
"know need anything",72,44559,8.09
"new website www",72,44631,8.1
"don know love",71,44702,8.12
"don think going",71,44773,8.13
"happy star wars",71,44844,8.14
"interview wednesday ct",71,44915,8.16
"keep doing thing",71,44986,8.17
"let know thanks",71,45057,8.18
"long way go",71,45128,8.19
"looks like got",71,45199,8.21
"rip donna summer",71,45270,8.22
"thanks hope great",71,45341,8.23
"yeah yeah yeah",71,45412,8.25
"don forget vote",70,45482,8.26
"don want know",70,45552,8.27
"facebook www facebook",70,45622,8.28
"just got word",70,45692,8.3
"monday night football",70,45762,8.31
"thanks follow following",70,45832,8.32
"come say hello",69,45901,8.34
"don know anything",69,45970,8.35
"don know feel",69,46039,8.36
"don know think",69,46108,8.37
"don really like",69,46177,8.39
"hope doing great",69,46246,8.4
"make sure come",69,46315,8.41
"morning good morning",69,46384,8.42
"need followers follow",69,46453,8.44
"need go sleep",69,46522,8.45
"th birthday love",69,46591,8.46
"thanks following great",69,46660,8.47
"boy meets world",68,46728,8.49
"don know anyone",68,46796,8.5
"full time job",68,46864,8.51
"happy birthday enjoy",68,46932,8.52
"happy birthday man",68,47000,8.53
"like don like",68,47068,8.55
"looking forward watching",68,47136,8.56
"night sweet dreams",68,47204,8.57
"book award winning",67,47271,8.58
"busy day today",67,47338,8.6
"don know anymore",67,47405,8.61
"eat ice cream",67,47472,8.62
"go school today",67,47539,8.63
"hope good time",67,47606,8.64
"just letting know",67,47673,8.66
"make sure don",67,47740,8.67
"really don wanna",67,47807,8.68
"sounds like perfect",67,47874,8.69
"april th pm",66,47940,8.71
"burned calories doing",66,48006,8.72
"gray rainbow journey",66,48072,8.73
"happy birthday good",66,48138,8.74
